,mfcc
394,"[-330.71234     53.554764   -32.075962     3.5571313   -5.8391047
    8.02048    -28.235777     0.7166831  -11.02623    -12.166758
  -11.129464     3.9297545   -7.1746397]"
395,"[-3.13102783e+02  6.86708450e+01 -3.20962448e+01  9.21420860e+00
 -1.62183225e+00  1.32896385e+01 -2.84670086e+01  2.72035807e-01
 -9.92546463e+00 -1.27024822e+01 -1.54438496e+01  6.84935188e+00
 -7.43388844e+00]"
396,"[-6.4890491e+02  8.7801826e+01 -4.2632089e+00  1.7538481e+01
  4.9567900e+00  1.6593893e+01 -1.2050440e+01  1.7082344e+00
 -1.2490537e+01 -8.3432865e+00 -4.1455946e+00  1.8006337e-01
 -2.4846210e+00]"
397,"[-635.4969      87.0186      -8.278957    12.166556     2.1240864
   14.081458   -15.517835    -5.0650177  -13.400049    -9.601935
   -7.1157737   -0.6845451   -4.496224 ]"
398,"[-653.9443      75.104294     1.4664811   16.43684      4.0287147
   13.783706   -12.529112    -3.2902572  -10.599871    -4.6149263
   -8.144474    -4.0513754   -2.7840219]"
399,"[-6.4667969e+02  6.8949112e+01  1.5793353e+00  1.5908246e+01
 -1.8888633e-01  1.0371759e+01 -1.3954550e+01 -4.3830662e+00
 -1.3813584e+01 -8.6009073e+00 -6.3061199e+00 -6.3308153e+00
 -7.1266646e+00]"
400,"[-463.93948     64.252205   -21.571327     3.5460956   -6.1540036
    8.367724   -25.231735    -5.746117   -16.07469    -10.780683
  -10.62969     -7.719146    -8.364918 ]"
401,"[-524.56323     57.399734   -13.795818     6.32387     -4.863629
    4.5268993  -25.055931    -3.3884382   -7.3973722   -4.690662
  -11.763347    -5.8017707   -4.1315956]"
402,"[-429.26334     50.798904   -26.077662     6.909459    -9.162409
    9.718149   -28.00354     -7.3361974  -16.834017   -12.065792
   -9.009276    -7.4540462   -8.745898 ]"
403,"[-445.83807     49.97411    -21.089256     4.28813     -9.552144
    3.9954636  -23.782698    -4.319666   -14.557113   -10.9732275
   -6.425265    -4.3998356   -6.6111016]"
404,"[-6.8527258e+02  7.8540764e+01  2.1565893e+00  2.2885904e+01
  1.5430335e+00  1.4229307e+01 -1.5938351e+01  1.2842342e+00
 -8.1627808e+00  9.1038156e-01 -2.3816223e+00 -2.7991736e+00
 -6.2850684e-01]"
405,"[-6.6083704e+02  8.8498734e+01  4.4151268e+00  1.7571516e+01
  5.5957465e+00  1.2659873e+01 -1.6522591e+01  5.4593956e-01
 -9.3759708e+00  3.2827587e+00 -3.0099826e+00 -1.1968217e+00
 -4.9705854e-01]"
406,"[-713.22266     87.453476    13.753288    24.19708      2.5482302
   21.499435    -9.09208      4.4373937  -11.4818325    5.9629617
   -1.3553611    1.89166     -1.647448 ]"
407,"[-661.3827      77.21333      7.1508446   24.068857     3.663091
   16.98639    -19.25894      4.0718584   -8.520376     3.3759277
   -6.881029    -2.6506588   -2.2264614]"
408,"[-496.89053     87.278824    -4.13808     26.06772      5.100936
    8.394063   -26.703302     4.0883336   -3.055777    -3.523016
  -11.876247    -2.8372695   -2.2891083]"
409,"[-5.3139301e+02  9.4996986e+01  5.1470453e-01  3.3073833e+01
  8.8649426e+00  1.5858478e+01 -2.0650013e+01  2.2314267e+00
 -2.3416739e+00  3.2744837e+00 -9.1969604e+00 -1.3487235e+00
  2.7489789e+00]"
410,"[-5.5320886e+02  8.7534660e+01  7.6191010e+00  3.3667122e+01
  4.3270082e+00  1.4125703e+01 -1.9996176e+01  1.5351422e+00
 -4.3503108e+00  1.3518189e+00 -7.8093462e+00 -5.1584682e+00
 -3.2518569e-02]"
411,"[-530.36273     78.61479      1.7051365   36.772675     1.4610468
   18.618055   -23.771854     5.198987    -5.503319     1.2464346
  -13.7032385   -4.1633973   -2.9673164]"
412,"[-629.29956     90.82503      6.9759207   18.69233      4.808152
   14.70413    -14.779827     3.3958182  -11.720144    -3.0214965
   -1.0308468   -1.9976503   -6.238164 ]"
413,"[-6.0508820e+02  8.3334824e+01  6.3509331e+00  2.1240454e+01
  3.8264160e+00  1.3618343e+01 -1.7170328e+01  1.8975208e+00
 -9.4143944e+00 -6.8120420e-02 -3.0683086e+00 -3.3675303e+00
 -4.5404129e+00]"
414,"[-627.6404       90.46941      10.596359     22.648252      3.1141305
   15.820043    -15.530667      3.704196    -10.051237     -0.76447546
   -0.79325813   -3.4390087    -4.912973  ]"
415,"[-624.1202      90.6793       8.507351    21.181395     6.6269927
   16.15503    -16.299387     4.6176276  -10.20922     -3.7834737
   -1.3083751   -4.122845    -6.456971 ]"
416,"[-474.7167      82.032875    -6.339351    22.162733    -2.3987513
   10.353118   -17.128166    -2.3739169  -10.546296    -5.551259
   -6.842208    -3.462454    -5.8673563]"
417,"[-572.926       74.38956      1.906866    22.84809      2.5901458
   15.515859   -18.001444     1.2017769   -9.582411    -2.6569057
   -4.976309    -4.5812016   -5.4256887]"
418,"[-519.52496     64.34161     -4.1656876   17.268648    -0.847305
   10.76281    -15.55232     -2.0304906  -10.91305     -5.281495
   -4.3347826   -4.377881    -8.266692 ]"
419,"[-5.6484418e+02  7.1575928e+01  3.2073498e-02  2.1382244e+01
  1.3078135e+00  1.2061764e+01 -1.6048084e+01 -1.2538017e+00
 -8.7582159e+00 -4.2111278e+00 -2.7409441e+00 -4.5015750e+00
 -6.9820433e+00]"
420,"[-6.8985645e+02  8.3689590e+01  6.2880244e+00  2.0525311e+01
  9.2555103e+00  1.2782109e+01 -9.0918007e+00  1.5082426e+01
 -1.3338522e+01 -2.0066425e-01  6.4412498e-01 -2.9376369e+00
  1.7961489e+00]"
421,"[-6.74835205e+02  8.89758072e+01  7.29881382e+00  1.80292702e+01
  1.07738638e+01  1.12221985e+01 -1.07594023e+01  1.46607409e+01
 -1.26898212e+01 -6.11692786e-01 -1.76063323e+00 -3.20766950e+00
 -2.50974119e-01]"
422,"[-6.7835541e+02  8.2296181e+01  1.0633886e+01  2.1090708e+01
  8.0113478e+00  1.2809254e+01 -9.6110172e+00  1.3456052e+01
 -1.4942914e+01 -4.6435168e-01 -4.5018640e+00 -2.4936228e+00
 -1.5332772e+00]"
423,"[-6.8272260e+02  8.8462173e+01  8.8445301e+00  2.1733021e+01
  8.6096745e+00  1.2479044e+01 -6.3168335e+00  1.3500128e+01
 -1.2526237e+01 -1.8566847e-01 -4.1877384e+00  2.6923856e-01
  3.4566885e-01]"
424,"[-7.02653931e+02  9.01431732e+01  1.43764687e+01  1.87504940e+01
  9.93795013e+00  1.39943905e+01 -9.65609169e+00  1.66060162e+01
 -1.47907085e+01  1.88261831e+00 -6.20734406e+00  6.26614153e-01
 -1.41108453e+00]"
425,"[-722.38074     86.71836     11.237748    24.178862     8.161293
   14.433592    -5.48937     14.205069   -12.773525     2.8270607
   -5.1643906    1.4808074   -1.6826619]"
426,"[-704.41797     81.8         16.144783    27.813866     5.8114047
   17.312092    -5.6414566   16.55091    -13.784742     1.3956394
   -3.1781464    1.1262459   -1.1046982]"
427,"[-7.2030670e+02  8.8235207e+01  1.0669410e+01  2.4312855e+01
  8.7968025e+00  1.8213743e+01 -7.7902079e+00  1.6479862e+01
 -1.3749383e+01  4.6014899e-01 -4.0581961e+00 -4.4015276e-01
 -2.9704440e-01]"
428,"[-7.0363141e+02  8.7882584e+01  8.1301336e+00  2.3446438e+01
  8.7616920e+00  1.3972111e+01 -9.9929266e+00  1.8051634e+01
 -1.1898096e+01  3.1251371e+00 -7.0437336e+00  1.0912325e+00
 -5.4647481e-01]"
429,"[-7.0470996e+02  9.0610329e+01  9.3607969e+00  2.3943956e+01
  5.2444839e+00  1.4796698e+01 -9.0429831e+00  1.8882318e+01
 -1.2389737e+01  2.3459187e+00 -4.9436727e+00 -6.4709944e-01
 -2.4707375e+00]"
430,"[-7.0415680e+02  8.2484238e+01  1.2907009e+01  2.5313957e+01
  5.2205248e+00  1.5851095e+01 -5.5336404e+00  1.7322571e+01
 -1.1335523e+01  1.5320692e+00 -6.0509181e+00  2.8159976e-01
 -1.7010098e+00]"
431,"[-695.92377     88.7365       7.42023     25.933477     4.915328
   15.093088    -8.786859    16.332485   -15.941995     3.0254343
   -4.713557    -1.2059466   -2.8643098]"
432,"[-6.48845337e+02  8.87482834e+01 -7.24808216e+00  1.08605518e+01
  1.06679125e+01  1.11862030e+01 -8.41761875e+00  8.61024475e+00
 -1.14253855e+01  7.83834532e-02 -1.94091797e-01 -2.68161607e+00
 -9.11697388e-01]"
433,"[-6.4196790e+02  8.4487724e+01 -9.3575859e+00  1.3859259e+01
  1.4008230e+01  9.4931564e+00 -1.0192025e+01  7.2435932e+00
 -9.2495890e+00 -1.7104553e+00 -8.0628490e-01 -2.5448201e+00
 -5.8054966e-01]"
434,"[-6.61488159e+02  8.42561646e+01 -9.04553652e-01  1.67878780e+01
  1.04742775e+01  1.46689720e+01 -1.01510172e+01  9.02153111e+00
 -1.05325813e+01 -1.96285987e+00  1.69870615e-01 -3.75486803e+00
 -1.95903516e+00]"
435,"[-6.24689941e+02  7.79975128e+01 -7.91803741e+00  9.99671078e+00
  9.00131607e+00  1.22471247e+01 -9.75492859e+00  3.01884222e+00
 -1.11237717e+01 -4.75988722e+00  1.12240754e-01 -5.38882542e+00
 -2.05551529e+00]"
436,"[-5.3563708e+02  8.4221054e+01 -1.8427040e+01  2.8280942e+00
  7.7977233e+00  7.0567360e+00 -1.5974625e+01  6.1437273e+00
 -9.5717001e+00 -5.7495775e+00  4.9011302e-01 -5.9915414e+00
 -6.7742677e+00]"
437,"[-526.8436      89.13229    -23.298248     7.105402    12.822175
    7.045658   -12.910363     8.270272    -5.546183    -2.7823353
    1.27085     -4.038569    -5.8925734]"
438,"[-512.5714      81.05112    -24.150621     6.1180754    7.6969066
    7.6918287  -17.707336     3.6233895  -11.870271    -9.05215
   -1.2656057   -8.014424    -9.806382 ]"
439,"[-538.3776      87.28826    -23.983717     4.114572     6.8379717
    7.3345537  -19.958448     2.4567258  -12.294375   -10.665014
   -1.284882    -6.763282   -10.488779 ]"
440,"[-695.8081      81.46492     13.486437    22.861332     7.3548784
   19.711477    -9.9750595   13.056328   -14.782135     1.9640597
   -7.184028    -1.1963955   -1.9202067]"
441,"[-719.26135     95.29214      7.9693336   22.889124     8.745727
   14.531174    -9.449181    15.126516   -13.3241415    2.813256
   -4.5037317   -2.5519245   -1.8717864]"
442,"[-7.2999988e+02  7.7645485e+01  1.1672639e+01  2.2969341e+01
  6.0279007e+00  1.7465908e+01 -4.0426903e+00  1.2046249e+01
 -1.1578658e+01 -3.6341293e+00 -2.7585638e+00  5.6861377e-01
 -8.6404562e-01]"
443,"[-7.1903625e+02  8.4456802e+01  1.5010824e+01  1.9363432e+01
  7.2262273e+00  1.8192066e+01 -5.2285981e+00  1.1741616e+01
 -1.5769234e+01 -3.4671375e-01 -5.3856397e+00  4.0160127e+00
  1.4902879e+00]"
444,"[-6.4849176e+02  8.9185242e+01 -1.5014521e+00  9.0677147e+00
  1.1856308e+01  1.1437791e+01 -1.0723902e+01  2.8347974e+00
 -1.5326991e+01 -1.0695837e+01  1.4748540e+00 -1.3110611e-01
 -7.3819876e+00]"
445,"[-6.4987726e+02  8.2768692e+01  2.6920123e+00  1.0875624e+01
  1.1290775e+01  1.0997437e+01 -1.0884939e+01  4.1270666e+00
 -1.3826637e+01 -1.2891966e+01 -1.9538597e+00 -2.0058604e-01
 -6.6940022e+00]"
446,"[-658.59686     87.2481      -4.023665    12.890811     8.881375
   12.552968    -8.291052     4.5232444  -10.65062    -12.331952
    1.1922495    1.7847761   -8.71065  ]"
447,"[-632.74554     94.060265    -2.002974    15.265705     7.923612
   12.728495    -6.74295      3.777484   -16.620728   -17.878841
    1.0516806    3.6899312   -8.17837  ]"
448,"[-558.65344     80.8242      -4.8322487   10.977147     3.9535546
    5.8088965  -10.875599    14.183604    -9.424849    -3.3473046
   -1.926167    -3.5726478   -2.2130544]"
449,"[-5.4350159e+02  6.8098663e+01  6.2115502e-01  1.4672910e+01
  3.5707247e+00  1.5785260e-01 -9.1622314e+00  1.2586107e+01
 -4.5460610e+00 -2.2226574e+00 -2.9496284e+00 -5.0690675e+00
 -4.9806437e-01]"
450,"[-5.9216376e+02  6.3911015e+01  6.2765813e+00  1.8173077e+01
  3.8089767e-01  6.0843258e+00 -8.8967466e+00  1.3889952e+01
 -6.8810468e+00 -3.9133403e+00 -4.2542148e+00 -4.3043971e+00
 -2.4342241e+00]"
451,"[-585.1831       67.620514      5.597656     20.325823      0.83920383
    5.7710915   -10.298909     12.629848     -5.806848     -5.446216
   -4.5915093    -4.055265     -3.894324  ]"
452,"[-459.49762     75.784195   -12.611506     6.3831687   -2.800913
   -3.707065   -14.6716585   14.828503    -7.2429056   -7.6617084
   -4.927266    -4.0622563   -2.3101141]"
453,"[-380.75864     58.029076   -24.327711     3.3484735   -1.1111962
   -7.319226   -15.862365    10.844813    -5.3833523   -5.3439045
   -3.97885     -3.5391953   -4.2627573]"
454,"[-481.20166     51.94681     -8.287859     9.132874    -6.7782145
   -1.8608052  -14.575776    12.800733   -11.349223    -7.2863336
   -3.702369    -5.631969    -3.8121762]"
455,"[-469.8765      57.134495   -10.301004     8.780239    -2.9488144
   -2.6797295  -16.599953    13.986188   -10.786514    -7.7300763
   -4.345334    -5.889579    -4.1274576]"
456,"[-5.1304596e+02  7.9603020e+01 -2.1135445e+01  4.7049952e-01
  3.4825201e+00  6.8404264e+00 -1.8591724e+01  9.2649498e+00
 -1.8647367e+01 -9.5168486e+00 -2.5322373e+00 -5.2849350e+00
 -8.9669981e+00]"
457,"[-538.0067      89.915306   -12.70006      6.562094     6.485394
   10.42373     -9.825827    13.969986   -11.769778    -7.3350263
   -0.6549051    1.2171853   -4.421616 ]"
458,"[-5.1965857e+02  8.5242821e+01 -1.3423164e+01 -2.4813171e-01
 -4.4761901e+00  9.7142982e+00 -1.4933639e+01  6.8145552e+00
 -2.0021103e+01 -1.3203914e+01  1.6230155e+00 -9.4781905e-01
 -7.4715290e+00]"
459,"[-565.1694      76.098694   -10.919866     7.830219    -0.7791204
   11.680841   -14.503041    10.258114   -14.182856   -12.173982
   -0.6787727   -2.7300801  -11.091501 ]"
460,"[-424.4507      48.522305   -26.42922      2.0584922    1.4710895
   -2.1389642  -14.7254925    5.449954   -11.416691    -8.832319
   -2.198557    -1.9368778   -4.2848825]"
461,"[-433.27396      52.52362     -29.013235      1.6825427     1.1066451
   -1.5636225   -19.195807      8.070883    -14.876009     -9.770213
    0.9124802     0.89047915   -5.0690813 ]"
462,"[-4.52033844e+02  4.92173767e+01 -1.81758862e+01 -2.12244511e+00
 -8.12255573e+00 -1.17311925e-01 -1.68708401e+01  7.81568241e+00
 -1.56965408e+01 -1.06132927e+01 -7.89188814e+00 -8.58215690e-01
 -6.80385447e+00]"
463,"[-4.2630405e+02  4.8475410e+01 -2.1627136e+01  2.5492690e+00
 -5.5275011e+00  1.4295628e+00 -2.0325235e+01  1.2766115e+01
 -1.7086613e+01 -1.1565633e+01 -3.6096196e+00 -1.1790932e-01
 -7.1745820e+00]"
464,"[-668.85077     88.6731      12.410378    18.527052     4.5645614
   11.811388    -6.571766    11.715204   -11.263355    -1.5489318
   -4.6272326    1.4479833   -1.7195085]"
465,"[-683.8108      95.740036     9.144229    16.90429      3.5950527
    9.339898    -7.0299683    8.299558   -11.869538    -1.9242172
   -4.8415284    1.4946328   -2.2755585]"
466,"[-6.5067175e+02  8.5357895e+01  1.3435845e+01  2.5229021e+01
 -1.7087865e-01  1.5654498e+01 -9.3504467e+00  6.6669993e+00
 -1.3752947e+01 -6.1689434e+00 -3.4070556e+00  6.2757176e-01
 -7.2926340e+00]"
467,"[-669.44586     77.88826     15.31674     21.838188     4.1518607
   15.638881    -8.1396675    8.175403    -9.668013    -6.104066
   -4.1282654    1.0116885   -3.5165715]"
468,"[-5.8972601e+02  8.1529678e+01  4.5262346e+00  1.8419554e+01
  2.8479040e+00  1.1971280e+01 -1.0879213e+01  6.9234633e+00
 -1.9248899e+01 -7.8279309e+00 -2.0682745e+00 -3.4757048e-01
 -3.6922174e+00]"
469,"[-6.4829199e+02  9.5498749e+01  8.8675232e+00  1.3661800e+01
  8.6812086e+00  8.0004969e+00 -1.2777668e+01  1.7312257e+00
 -1.2769979e+01 -9.0141267e-02 -3.7598369e+00 -1.7321225e+00
 -2.6760740e+00]"
470,"[-644.14844     77.77197     12.19926     21.622633     3.9401333
   12.576068   -11.222255     3.8231215  -12.590637    -4.6721015
   -4.544855    -5.220731    -7.296511 ]"
471,"[-622.6123      75.30427      9.786573    21.623281     3.1204455
   10.700494   -12.26869      0.7696656  -11.448757    -3.9182894
   -2.7748423   -2.2692997   -7.140971 ]"
472,"[-6.1620959e+02  7.3725227e+01  3.7556934e-01  1.2730794e+01
  3.5659440e+00  1.2299700e+01 -5.9469056e+00  1.1314308e+01
 -1.5892522e+01 -4.2816796e+00  1.1214670e+00  7.9848903e-01
 -2.0188851e+00]"
473,"[-6.0768884e+02  7.7864159e+01 -8.4170496e-01  1.1402779e+01
  1.4078347e-01  8.1402769e+00 -9.2718449e+00  1.1801191e+01
 -1.7224564e+01 -5.2925596e+00 -7.7489775e-01 -4.5910144e+00
 -3.0920198e+00]"
474,"[-5.75711853e+02  6.52813568e+01  2.08351588e+00  1.23907900e+01
 -1.22217601e-02  1.19344330e+01 -8.83345890e+00  1.06401615e+01
 -1.64015026e+01 -5.00802231e+00 -9.21645224e-01 -2.65014434e+00
 -4.47522593e+00]"
475,"[-624.7364      70.33731      8.261124    16.224949     2.515757
   10.253671    -9.93042     12.977889   -13.165759    -3.7543564
   -3.303376    -2.308638    -2.8270612]"
476,"[-5.5611621e+02  7.1863022e+01 -8.6350508e+00  8.6255283e+00
  1.5830421e-01  7.6177483e+00 -1.0486285e+01  1.0488250e+01
 -1.7269562e+01 -6.2041574e+00 -1.0497999e+00  4.6060246e-01
 -5.3944335e+00]"
477,"[-5.4807239e+02  7.1356812e+01 -3.9484723e+00  8.7863512e+00
 -9.5145166e-01  5.7286539e+00 -1.0044805e+01  1.0577339e+01
 -1.5222488e+01 -7.4346390e+00  1.1887669e-01 -2.2362442e+00
 -3.6921344e+00]"
478,"[-553.6041      65.14236     -2.4483798    6.304097    -6.8025165
    3.949452   -12.895129    12.973272   -15.257602    -6.317323
   -5.8965826   -3.606814    -2.2398336]"
479,"[-5.4838666e+02  6.4250557e+01  1.5383169e-01  9.7282391e+00
 -5.3937125e+00  8.1284838e+00 -1.1156160e+01  1.2079480e+01
 -1.9547625e+01 -9.1395903e+00 -5.6726789e+00 -5.2123833e+00
 -4.1520410e+00]"
480,"[-7.49025574e+02  1.12161156e+02  1.77817802e+01  3.03107185e+01
  1.77382240e+01  2.58800335e+01 -1.88402757e-01  9.57716751e+00
 -1.15447772e+00  5.41418219e+00  4.06825972e+00  4.14163637e+00
 -1.08155859e+00]"
481,"[-7.7418042e+02  1.0342949e+02  1.4265284e+01  2.5593023e+01
  1.0071165e+01  1.9591225e+01 -3.1012540e+00  7.2845030e+00
 -5.7313776e+00  2.5286169e+00  3.8369894e+00  5.5539477e-01
 -6.5449114e+00]"
482,"[-7.6067383e+02  9.2628716e+01  1.1795452e+01  3.0144964e+01
  8.8429012e+00  2.2525024e+01 -5.7059899e-02  8.3840942e+00
 -5.9478936e+00 -9.8490067e-02  1.5298499e+00  2.3963521e+00
 -4.8117347e+00]"
483,"[-757.24945     96.52399     12.697782    25.983824    12.155873
   18.579313    -1.030155     7.0449123   -4.0869927   -1.4426897
    1.8684782    1.1559436   -4.3437862]"
484,"[-7.6385321e+02  9.6942368e+01  1.1707750e+01  2.7051886e+01
  9.3385916e+00  2.3240538e+01 -6.0438484e-01  4.3954272e+00
 -5.7298622e+00  1.2927144e+00  3.4175618e+00  1.0372163e+00
 -2.9549212e+00]"
485,"[-7.25703430e+02  9.85054855e+01 -1.15406871e+00  2.85915337e+01
  1.33687725e+01  2.18132648e+01 -4.82481956e+00  2.10131407e+00
 -7.39684820e+00  7.00803161e-01  5.99358559e+00  2.42490721e+00
 -4.33099222e+00]"
486,"[-6.7571570e+02  9.8240570e+01 -8.8776159e-01  3.1296894e+01
  8.0457563e+00  1.9060419e+01 -9.5035944e+00  5.0498500e+00
 -4.5643878e+00  6.4424956e-01  3.2903943e+00  2.2049625e+00
 -3.8163142e+00]"
487,"[-7.4583539e+02  1.0050878e+02  9.4667492e+00  3.2991993e+01
  8.2690496e+00  2.5598000e+01  4.9576950e-01  7.4807072e+00
 -6.8642211e+00 -8.1253439e-01  3.1912398e+00  5.1157017e+00
 -3.1930470e+00]"
488,"[-804.74335     86.225174    14.003932    33.84815      9.018332
   25.82995      1.7152824    8.097965    -8.793469     4.689321
    7.33001      4.654207    -1.8762759]"
489,"[-780.198      105.93847     15.983044    41.497955    15.95788
   30.641037     2.2649546    9.227247    -9.904634     5.5562763
    3.6706674    2.4969792   -3.956054 ]"
490,"[-7.08072815e+02  1.09136055e+02  6.39012241e+00  3.32454758e+01
  1.18535776e+01  2.28448887e+01 -4.93052292e+00  4.44759798e+00
 -5.66211462e+00 -3.63377869e-01  3.23979187e+00  3.87419415e+00
 -3.42436218e+00]"
491,"[-7.4402319e+02  1.0525616e+02  1.1444040e+01  3.2059620e+01
  8.4354391e+00  2.2835541e+01  2.8567114e+00  5.6664667e+00
 -5.9571209e+00 -6.7643803e-01  1.8047682e+00  2.7009127e+00
 -7.5846844e+00]"
492,"[-7.1454187e+02  1.2544392e+02  1.5545542e+01  2.1921103e+01
  1.1295229e+01  2.3789700e+01  9.4279164e-01  6.6456246e-01
 -2.9096832e+00 -8.4112291e+00 -7.0068507e+00 -9.5766455e-01
 -3.1162894e-01]"
493,"[-6.7443683e+02  1.0817735e+02  3.2016535e+00  1.3210868e+01
  1.3016883e+01  2.2137587e+01 -3.8306990e+00 -1.5316752e+00
 -4.0228333e+00 -4.8623424e+00 -4.2368186e-01  2.6493580e+00
 -3.1048000e+00]"
494,"[-7.0401691e+02  9.7211731e+01  5.6766624e+00  1.9714775e+01
  9.3886452e+00  2.3870770e+01 -1.8658599e-02  9.1645992e-01
 -4.5340843e+00 -3.7426848e+00  3.0725190e-01  2.7463415e+00
 -4.8562131e+00]"
495,"[-6.5767493e+02  9.4130127e+01 -1.5297871e+00  1.4376581e+01
  1.3072938e+01  1.7213570e+01 -1.5881848e+00  3.5279846e-01
 -5.8573279e+00 -9.3405323e+00 -2.1421361e+00  2.8417423e+00
 -4.5118189e+00]"
496,"[-478.69473     88.7568     -14.696131    -1.0692879    3.2960527
   11.685648   -17.247198   -13.546928    -8.206989   -10.997331
  -12.114316    -1.4344823   -1.4872329]"
497,"[-472.29596    109.64138    -11.0686455   -4.623073     4.5308847
   10.140704   -23.586983   -16.476126    -8.032239   -11.371213
  -17.983301    -4.5939507   -3.0648313]"
498,"[-457.60394     66.38249    -16.109793     5.828366     1.9831849
   15.165194   -12.737982    -5.611061    -7.076552    -8.397771
  -12.208999     1.9656205   -6.881505 ]"
499,"[-513.0374      87.17277     -5.705717     5.469162     5.3924756
   14.947129    -7.726775    -5.4055696   -7.7546644  -12.871177
  -10.354155    -0.6549439   -3.9377406]"
500,"[-8.1525647e+02  9.2101845e+01  1.4188011e+01  2.3456829e+01
  1.0897531e+01  2.6954237e+01 -3.3946711e-01  1.2496018e+01
 -1.4022046e+01  1.9680901e+00 -4.1745229e+00  4.6116700e+00
 -2.2182591e+00]"
501,"[-8.2256549e+02  7.3901299e+01  8.9218264e+00  2.0928192e+01
  1.0637718e+01  1.8744802e+01  2.9617367e+00  4.6951261e+00
 -9.3507290e+00 -1.5789565e-01 -1.1214049e-01  9.4527811e-01
  3.2677799e-01]"
502,"[-789.67303     73.88943      8.611823    25.921698     7.01815
   20.953918     3.202201    11.177765   -10.608446    -1.1147742
   -2.3195345    2.8708582   -0.9796156]"
503,"[-810.7032      86.42731     15.16856     37.084743     8.860023
   29.279154     1.0894809   18.195312   -13.060231     4.0657277
   -2.1482234   10.158495    -2.7786238]"
504,"[-7.02891418e+02  1.20740166e+02  1.12877810e+00  2.95785217e+01
  1.03132143e+01  2.74833336e+01 -6.45232868e+00  2.38405108e+00
 -1.23327570e+01 -4.49558401e+00 -9.04545116e+00 -6.59601688e-01
  2.57142514e-01]"
505,"[-6.97401550e+02  1.00514885e+02 -3.49427485e+00  2.30635586e+01
  1.04494581e+01  2.81445332e+01 -7.01959038e+00  3.37358385e-01
 -1.28541040e+01 -3.96187633e-01 -7.88326883e+00  5.24609327e-01
 -2.48075628e+00]"
506,"[-705.68286    100.70516     -1.2202638   27.240944     9.441977
   24.894987    -4.7084403    2.3193123  -12.600061    -3.3715448
   -7.810922     0.7912032   -2.1250997]"
507,"[-691.3254     109.254166     3.1171262   27.926825    16.489096
   24.42343     -1.8722297    4.0220575  -11.014096    -6.4135847
   -8.339383     1.1405607   -2.692082 ]"
508,"[-707.7971      100.10974       3.3832555    18.633919     14.542518
   28.344372     -4.465142      5.3116903    -6.213404     -0.91240263
   -4.461055      3.4718962     1.6866564 ]"
509,"[-6.7295551e+02  9.4161362e+01  3.8943055e+00  1.6198057e+01
  1.4940569e+01  2.5780706e+01 -1.4170125e+00  4.9407697e+00
 -5.9338336e+00 -1.1623966e+00 -2.4437695e+00  2.7219958e+00
  3.5620730e-02]"
510,"[-585.12805      98.03991      -9.347707     10.480037     11.288571
   24.089743     -8.243176      0.8602687    -3.8164597   -10.562575
   -9.353408      1.1934733    -0.71379036]"
511,"[-638.72925     96.0189      -3.3349817   14.603105    12.641174
   25.813948    -6.772596     3.400335    -5.826293    -6.5546184
   -7.1974344    3.4899728   -3.331737 ]"
512,"[-344.4705      83.02877    -19.85138      1.4410353   -1.8160789
   12.821259   -20.367498     0.4601995  -11.335251     1.0818888
   -9.350906     3.0096834   -1.56146  ]"
513,"[-3.5445676e+02  8.6472412e+01 -2.1221777e+01 -2.6239249e-01
 -2.2390692e+00  1.0636132e+01 -1.9255405e+01  2.4247706e-01
 -1.1066661e+01 -3.4583585e+00 -8.3650866e+00  3.8048422e-01
 -1.0544704e+00]"
514,"[-289.94876     88.51266    -25.261799     3.1262124   -9.774669
   10.923662   -26.53655     -3.1099534  -18.155703     1.1959414
  -10.700996    -4.036644    -2.0237648]"
515,"[-3.2280002e+02  7.9281273e+01 -2.2741369e+01  2.5795814e-01
 -9.1870832e+00  8.3118296e+00 -2.0190117e+01  3.8765717e+00
 -1.4715081e+01  9.4367856e-01 -5.1251369e+00 -1.5070721e+00
 -7.1354729e-01]"
516,"[-793.7796      81.39911      4.2407136   26.111664     5.9400616
   26.891012    -6.797889    13.413633   -10.7300825    8.14505
   -0.9793148    4.1418495   -3.8623886]"
517,"[-764.8459      77.698235     7.3202167   25.866062    12.363236
   22.608984    -1.576688     8.772274    -8.094559     2.8123207
    1.5965389    3.8800998   -1.1939969]"
518,"[-7.7025446e+02  8.1143997e+01  1.1056711e+01  3.0103327e+01
  8.5080433e+00  2.5503263e+01  5.9758704e-02  1.2690548e+01
 -8.4688559e+00  3.6346684e+00  2.3586969e+00  5.3765502e+00
 -1.5657007e+00]"
519,"[-7.9154968e+02  7.9096321e+01  4.1595798e+00  3.4903473e+01
  7.3020458e+00  2.3244932e+01 -3.5824254e+00  1.2108234e+01
 -9.5245247e+00  1.0787628e+00 -4.9528846e-01  4.3346090e+00
 -1.5335068e+00]"
520,"[-6.1118622e+02  9.3203629e+01  4.4890704e+00  1.6351482e+01
  1.6653118e+01  2.2027224e+01 -1.0565612e+01 -7.1956658e-01
 -1.5845500e+00  2.6875365e+00 -8.9972668e+00 -6.4130002e-01
 -5.7990873e-01]"
